User-ID,Index,location-Rating
276725,10,0
276726,11,5
276727,12,0
276729,13,3
276729,14,6
276733,15,0
276736,16,8
276737,17,6
276744,18,7
276745,19,10
276746,10,0
276746,22,0
276746,21,0
276746,23,0
276746,24,0
276746,11,0
276747,30,9
276747,31,0
276747,33,0
276747,40,9
276747,47,8
276747,50,7
276747,28,0
276747,9,7
276748,29,6
276748,7,0
276751,8,0
276751,25,8
276754,26,8
276755,27,5
276760,28,10
276762,29,0
276762,41,0
276762,42,5
276762,60,0
276762,61,0
276762,62,0
276762,63,0
276762,34,0
276762,35,0
276762,48,0
276762,49,0
276762,70,0
276762,7,0
276762,6,8
276762,5,0
276762,4,0
276762,66,0
276762,67,0
276762,3,3
276762,75,0
276762,76,0
276762,77,0
276762,78,0
276762,80,0
276762,81,4
276765,82,0
276768,83,4
276772,84,0
276772,2,7
276772,10,0
276772,11,10
276772,12,10
276774,13,0
276774,14,0
276774,15,0
276774,16,9
276774,17,0
276780,18,0
276780,19,7
276780,10,7
276786,22,6
276786,21,0
276786,23,0
276786,24,0
276786,11,0
276786,30,0
276786,31,8
276786,33,0
276786,40,6
276786,47,0
276786,50,6
276786,28,0
276788,9,8
276788,29,7
276788,7,10
276796,8,5
276796,25,0
276798,26,5
276798,27,0
276798,28,7
276798,29,0
276798,41,0
276798,42,0
276798,60,0
276798,61,0
276798,62,0
276798,63,6
276798,34,0
276798,35,0
276800,48,0
276800,49,0
276800,70,0
276800,7,0
276800,6,0
276800,5,7
276803,4,0
276804,66,0
276804,67,0
276804,3,8
276806,75,0
276806,76,0
276808,77,10
276811,78,10
276812,80,8
276813,81,0
276813,82,0
276813,83,0
276813,84,8
276813,2,0
276813,10,8
276813,11,6
276813,12,8
276813,13,6
276813,14,6
276813,15,8
276813,16,0
276814,17,8
276814,18,7
276814,19,9
276817,10,0
276820,22,0
276820,21,9
276822,23,10
276822,24,9
276822,11,10
276822,30,9
276822,31,9
276822,33,10
276822,40,0
276822,47,6
276822,50,9
276822,28,8
276822,9,10
276822,29,9
